lod,lg,ss,count,prop_snps,occurrence,spurious,LG count,
15,139,Super-Scaffold_34,2,0.165425972,,,,
15,140,Super-Scaffold_34,2,0.165425972,,,,
15,141,Super-Scaffold_34,2,0.165425972,,,,
15,142,Super-Scaffold_38,2,0.030070666,,,,
15,143,Super-Scaffold_38,2,0.030070666,,,,
15,144,Super-Scaffold_39,2,0.08399832,,,,
15,145,Super-Scaffold_40,2,0.028117531,,,,
15,146,Super-Scaffold_40,2,0.028117531,,,,
15,147,Super-Scaffold_40,2,0.028117531,,,,
15,148,Super-Scaffold_40,2,0.028117531,,,,
15,149,Super-Scaffold_41,2,0.068775791,,,,
15,150,Super-Scaffold_41,2,0.068775791,,,,
15,151,Super-Scaffold_41,2,0.068775791,,,,
15,152,Super-Scaffold_44,2,0.081037277,,,,
15,153,Super-Scaffold_45,2,0.03563157,,,,
15,154,Super-Scaffold_45,2,0.03563157,,,,
15,155,Super-Scaffold_46,2,0.062695925,,,,
15,156,Super-Scaffold_46,2,0.062695925,,,,
